EducationKey,SurrogateKey,Literacy_rate_adult_female_(%_of_females_ages_15_and_above),Literacy_rate_adult_male_(%_of_males_ages_15_and_above),Literacy_rate_adult_total_(%_of_people_ages_15_and_above),Literacy_rate_youth_total(%_of_people_ages_15-24),Public_spending_on_education_total(%_of _GDP),School_enrollment_primary_male(%gross),School_enrollment_primary_female(%gross),School_enrollment_secondary_male(%gross),School_enrollment_secondary_female(%gross),School_enrollment_tertiary_female(%gross),School_enrollment_tertiary(%gross),Primary_completion_rate_total(%_of_relevant_age_group),Year,Country
1,3000,,,,,4.76588,97.77119,96.93871,102.48706,100.23438,,,,2005-01-01,Canada
2,3001,,,,,,99.23444,98.50983,102.73236,100.6695,,,,2006-01-01,Canada
3,3002,,,,,4.76641,99.20019,98.72111,103.0019,100.74837,73.95901,63.60006,,2007-01-01,Canada
4,3003,,,,,4.62612,98.10118,97.92086,103.52593,101.10425,74.44554,63.7674,,2008-01-01,Canada
5,3004,,,,,4.84058,98.93639,99.08513,103.90808,101.50361,73.92633,63.06577,,2009-01-01,Canada
6,3005,,,,,5.35637,98.39224,98.90506,103.58298,101.15669,71.82283,61.65585,,2010-01-01,Canada
7,3006,,,,,5.26205,97.84993,98.54883,104.38077,102.26688,73.63206,63.46732,,2011-01-01,Canada
8,3007,,,,,,99.00091,100.06698,110.1125,109.85607,73.58981,63.98077,,2012-01-01,Canada
9,3008,,,,,,99.80015,100.91373,109.36333,109.61532,74.91763,65.3323,,2013-01-01,Canada
10,3009,,,,,,100.94869,102.15868,109.0323,109.65122,75.26596,65.61291,,2014-01-01,Canada
11,3010,,,,,,102.08415,102.90796,109.88395,110.85762,74.48037,64.78696,,2015-01-01,Canada
12,3011,,,,,,100.98145,101.06847,111.69309,113.38646,76.38456,66.43918,,2016-01-01,Canada
13,3012,,,,,,101.06244,100.81914,113.04668,114.52064,79.29239,68.92251,,2017-01-01,Canada
14,3013,,,,,,101.71662,101.2754,113.53153,114.74768,80.57796,70.11302,,2018-01-01,Canada
15,3014,,,,,,101.27232,100.69402,113.86975,114.82053,86.50887,75.69882,,2019-01-01,Canada
16,3015,,,,,,,,,,,,,2020-01-01,Canada
17,3016,,,,,,102.41138,101.3106,94.20211,95.94848,95.19016,80.63483,,2005-01-01,United States
18,3017,,,,,,,,,,,,,2006-01-01,United States
19,3018,,,,,,,,,,,,,2007-01-01,United States
20,3019,,,,,,,,,,,,,2008-01-01,United States
21,3020,,,,,,,,,,,,,2009-01-01,United States
22,3021,,,,,,,,,,,,,2010-01-01,United States
23,3022,,,,,,,,,,,,,2011-01-01,United States
24,3023,,,,,,,,,,,,,2012-01-01,United States
25,3024,,,,,,99.85975,99.03338,96.06963,96.30906,103.11261,88.72642,,2013-01-01,United States
26,3025,,,,,,99.83744,99.50208,96.36253,97.51305,102.59939,88.62687,,2014-01-01,United States
27,3026,,,,,,100.31204,100.28726,97.15372,98.17358,102.74733,88.88941,,2015-01-01,United States
28,3027,,,,,,101.44578,101.27641,99.05283,98.47471,102.2938,88.83505,,2016-01-01,United States
29,3028,,,,,,102.20446,101.422,99.19852,98.69556,102.01133,88.16739,98.8322,2017-01-01,United States
30,3029,,,,,,101.31424,101.19637,99.73566,98.79606,102.35404,88.29918,100.0927,2018-01-01,United States
31,3030,,,,,,100.63408,101.34374,100.90212,99.18945,102.42533,87.88871,100.48905,2019-01-01,United States
32,3031,,,,,,,,,,,,,2020-01-01,United States
33,3032,90.21041,93.19041,91.63027,97.63584,4.84569,109.57255,107.59824,80.56585,84.03332,23.92174,24.2164,100.57364,2005-01-01,Mexico
34,3033,89.83451,93.9012,91.73452,97.89566,4.69992,109.24622,107.07042,81.92304,86.24868,24.41291,24.79043,100.8882,2006-01-01,Mexico
35,3034,91.35555,94.44151,92.79517,98.15609,4.69051,109.89896,107.66878,82.31406,87.5231,25.04819,25.42106,101.96069,2007-01-01,Mexico
36,3035,91.45361,94.59216,92.9256,98.3823,4.82007,110.49721,108.32095,83.34577,89.55884,25.75689,26.11203,101.29036,2008-01-01,Mexico
37,3036,92.11625,94.91657,93.44188,98.52466,5.18794,111.50106,109.56119,82.55105,89.39711,26.289,26.58673,99.82452,2009-01-01,Mexico
38,3037,91.85342,94.38394,93.06894,98.43452,5.15922,111.40432,109.83842,83.83091,90.38814,27.25701,27.56347,100.23939,2010-01-01,Mexico
39,3038,92.33828,94.78277,93.51998,98.46177,5.10565,111.17032,109.8901,85.15087,91.30688,28.03772,28.3415,100.19753,2011-01-01,Mexico
40,3039,93.17924,95.39163,94.2284,98.87542,5.1031,110.89468,109.9153,87.75828,93.64716,29.16375,29.47184,106.01101,2012-01-01,Mexico
41,3040,92.90394,95.11211,93.96285,98.5645,4.69605,109.85975,109.00775,90.76839,95.94705,29.95729,30.30004,109.42504,2013-01-01,Mexico
42,3041,93.59134,95.62047,94.55588,99.00004,5.25747,108.29968,107.7004,94.69579,100.05347,30.83395,31.09414,110.50884,2014-01-01,Mexico
43,3042,93.4855,95.54933,94.47228,98.94471,5.22942,106.73508,106.47186,97.64992,104.09378,31.56362,31.81904,104.90982,2015-01-01,Mexico
44,3043,93.96852,95.84482,94.85962,99.1162,4.90682,106.22458,106.33317,98.75592,106.14941,38.56783,38.43338,103.96939,2016-01-01,Mexico
45,3044,94.16576,95.87237,94.97278,99.12469,4.51822,105.51657,106.03469,100.65936,108.2199,40.62317,40.22896,104.09784,2017-01-01,Mexico
46,3045,94.60805,96.2329,95.37991,99.31845,4.25443,104.70988,105.36071,100.75871,109.58761,42.309,41.5228,102.25589,2018-01-01,Mexico
47,3046,,,,,,104.1918,105.14126,99.92178,109.5374,43.99685,42.8307,102.46554,2019-01-01,Mexico
48,3047,94.49513,96.05875,95.24785,99.08241,,,,,,,,,2020-01-01,Mexico
49,3048,,,,,4.0782,103.33926,103.10853,89.67087,87.61691,21.68705,21.35362,97.48793,2005-01-01,Mauritius
50,3049,,,,,3.69751,104.08322,103.78277,86.20064,88.88706,23.67947,23.59894,95.00874,2006-01-01,Mauritius
51,3050,,,,,3.1854,103.64566,103.52744,87.07606,89.71704,26.59927,24.63669,97.42126,2007-01-01,Mauritius
52,3051,,,,,3.06307,104.07607,103.48994,86.54004,89.58827,30.23767,27.31846,97.0626,2008-01-01,Mauritius
53,3052,,,,,3.04731,102.65596,102.92582,86.94946,90.68875,35.01564,32.16448,94.79415,2009-01-01,Mauritius
54,3053,,,,,3.55147,102.52745,103.05452,87.24835,91.29235,36.91036,33.69148,99.26861,2010-01-01,Mauritius
55,3054,86.65807,91.95172,89.24984,98.13035,3.33207,102.5795,103.41563,88.873,93.02646,40.1038,35.39315,98.42845,2011-01-01,Mauritius
56,3055,88.97935,94.65241,91.76601,,3.4182,102.62662,103.38538,90.83126,95.20463,44.43012,38.90374,95.62267,2012-01-01,Mauritius
57,3056,89.05094,94.03689,91.49003,,3.61579,101.11388,102.83093,94.70752,97.40716,44.12455,40.04368,97.34062,2013-01-01,Mauritius
58,3057,90.28332,94.76538,92.47476,,4.91695,101.42691,103.50933,99.007,100.8283,43.20239,39.12631,96.91483,2014-01-01,Mauritius
59,3058,90.65402,94.86117,92.7076,,4.88667,102.03851,103.83742,95.32199,99.48449,42.51898,37.41528,100.48056,2015-01-01,Mauritius
60,3059,90.98055,95.43586,93.15784,,5.0136,101.56208,103.37964,95.347,99.81186,43.7994,38.84853,101.06866,2016-01-01,Mauritius
61,3060,,,,,5.02313,100.64927,102.43522,92.4904,99.07661,47.45723,40.59604,98.20008,2017-01-01,Mauritius
62,3061,89.36638,93.35735,91.32539,99.04203,4.83459,99.78083,102.48569,92.52626,97.76666,,41.59998,100.79118,2018-01-01,Mauritius
63,3062,,,,,4.7193,98.27747,100.81176,95.99769,98.28924,,44.39153,98.51373,2019-01-01,Mauritius
64,3063,,,,,4.608,,,,,52.60554,44.26019,96.37744,2020-01-01,Mauritius
65,3064,,,,,,,,,,,,,2005-01-01,Liberia
66,3065,,,,,,98.94244,91.23511,,,,,66.62626,2006-01-01,Liberia
67,3066,27.03491,60.77481,42.94108,49.07411,,,,,,,,,2007-01-01,Liberia
68,3067,,,,,1.70166,100.31749,91.17358,,,,,62.91722,2008-01-01,Liberia
69,3068,,,,,,108.02953,96.53089,,,,,62.08823,2009-01-01,Liberia
70,3069,,,,,,,,,,6.57833,9.53119,,2010-01-01,Liberia
71,3070,,,,,,109.87426,100.21535,51.07054,41.54134,,,66.84978,2011-01-01,Liberia
72,3071,,,,,1.77712,,,,,9.15192,11.92253,,2012-01-01,Liberia
73,3072,,,,,1.73466,,,,,,,,2013-01-01,Liberia
74,3073,,,,,2.2791,101.62968,93.06524,43.454,33.57566,,,60.00973,2014-01-01,Liberia
75,3074,,,,,2.17083,100.28384,90.20212,42.77182,32.90857,,,,2015-01-01,Liberia
76,3075,,,,,2.14813,89.7741,89.15522,,,,,,2016-01-01,Liberia
77,3076,34.09226,62.69656,48.30136,55.3987,2.76128,85.49155,84.7126,,,,,60.5954,2017-01-01,Liberia
78,3077,,,,,2.58412,,,,,,,,2018-01-01,Liberia
79,3078,,,,,2.27039,,,,,,,,2019-01-01,Liberia
80,3079,,,,,2.30929,,,,,,,,2020-01-01,Liberia
81,3080,,,,,,,,,,,,,2005-01-01,Dem. Rep. Congo
82,3081,,,,,,,,,,,,,2006-01-01,Dem. Rep. Congo
83,3082,,,,,,,,,,,,,2007-01-01,Dem. Rep. Congo
84,3083,,,,,,,,,,,,,2008-01-01,Dem. Rep. Congo
85,3084,,,,,,,,,,,,,2009-01-01,Dem. Rep. Congo
86,3085,,,,,,,,,,,,,2010-01-01,Dem. Rep. Congo
87,3086,,,,,,,,,,,,,2011-01-01,Dem. Rep. Congo
88,3087,,,,,,,,,,,,,2012-01-01,Dem. Rep. Congo
89,3088,,,,,,,,,,,,,2013-01-01,Dem. Rep. Congo
90,3089,,,,,,,,,,,,,2014-01-01,Dem. Rep. Congo
91,3090,,,,,,,,,,,,,2015-01-01,Dem. Rep. Congo
92,3091,,,,,,,,,,,,,2016-01-01,Dem. Rep. Congo
93,3092,,,,,,,,,,,,,2017-01-01,Dem. Rep. Congo
94,3093,,,,,,,,,,,,,2018-01-01,Dem. Rep. Congo
95,3094,,,,,,,,,,,,,2019-01-01,Dem. Rep. Congo
96,3095,,,,,,,,,,,,,2020-01-01,Dem. Rep. Congo
97,3096,,,,,,100.13518,95.18296,,,13.50437,16.15993,93.75769,2005-01-01,Vietnam
98,3097,,,,,,99.65517,96.51411,,,16.54768,16.78205,97.44434,2006-01-01,Vietnam
99,3098,,,,,,101.42787,98.05822,,,18.6506,18.48277,,2007-01-01,Vietnam
100,3099,,,,,4.88674,,,,,19.03671,19.06383,,2008-01-01,Vietnam
101,3100,91.37909,95.78533,93.52045,97.09167,4.8165,103.44451,101.12841,,,20.30738,20.23058,,2009-01-01,Vietnam
102,3101,,,,,5.13722,108.09772,103.16561,,,23.01379,22.82086,,2010-01-01,Vietnam
103,3102,,,,,4.81372,109.29035,104.95465,,,25.27843,24.94845,103.22786,2011-01-01,Vietnam
104,3103,,,,,5.53329,107.16552,108.3855,,,,25.18673,102.63969,2012-01-01,Vietnam
105,3104,,,,,5.652,109.25322,107.50346,,,23.95194,25.19179,100.01659,2013-01-01,Vietnam
106,3105,,,,,,110.41607,110.23586,,,31.56581,30.7155,107.18288,2014-01-01,Vietnam
107,3106,,,,,4.46576,109.66804,110.12642,,,29.15524,29.07346,105.16446,2015-01-01,Vietnam
108,3107,,,,,4.34481,110.41134,112.0794,,,31.71716,28.54497,105.96399,2016-01-01,Vietnam
109,3108,,,,,4.08554,108.24641,110.15374,,,,,,2017-01-01,Vietnam
110,3109,,,,,4.16745,109.46457,111.85383,,,,,110.02121,2018-01-01,Vietnam
111,3110,94.56566,96.9907,95.75387,98.62546,4.06197,114.28067,116.72459,,,,28.63998,,2019-01-01,Vietnam
112,3111,,,,,,115.89739,118.56549,,,,,,2020-01-01,Vietnam
113,3112,,,,,3.36464,119.56547,109.15095,53.12817,43.14844,5.49083,7.73622,76.15548,2005-01-01,Nepal
114,3113,,,,,3.60536,129.64845,124.62976,49.20614,41.41949,5.69884,8.21843,77.01021,2006-01-01,Nepal
115,3114,,,,,3.51721,127.34179,127.24555,48.03126,41.9209,,10.13185,,2007-01-01,Nepal
116,3115,,,,,3.80517,123.74432,126.91349,53.64833,48.37352,8.56242,11.14513,77.77894,2008-01-01,Nepal
117,3116,,,,,4.66376,134.31255,141.29967,54.71606,48.789,8.57949,11.15701,,2009-01-01,Nepal
118,3117,,,,,3.63172,139.33217,149.94553,58.31737,56.92805,11.29164,14.3399,,2010-01-01,Nepal
119,3118,48.83759,71.70838,59.62725,84.75715,3.84262,144.25935,156.02757,60.40251,60.12377,11.61579,14.45016,,2011-01-01,Nepal
120,3119,,,,,3.29008,142.15125,154.64813,62.97712,64.53488,,,104.31406,2012-01-01,Nepal
121,3120,,,,,3.01811,139.8007,151.26811,64.37287,66.3517,15.38884,17.11177,105.54476,2013-01-01,Nepal
122,3121,,,,,3.47213,138.25983,148.4647,65.67452,68.10591,,15.99375,109.19846,2014-01-01,Nepal
123,3122,,,,,3.25902,139.91617,148.56432,66.28712,69.43692,14.53834,14.96646,111.83081,2015-01-01,Nepal
124,3123,,,,,3.90321,140.87482,148.17456,68.83057,72.78965,11.49555,11.62351,116.80219,2016-01-01,Nepal
125,3124,,,,,4.76722,142.62741,145.2117,71.43654,76.77662,11.64118,11.59123,121.72227,2017-01-01,Nepal
126,3125,59.72443,78.59134,67.90843,92.39381,4.43445,,,,,12.82445,12.41086,,2018-01-01,Nepal
127,3126,,,,,,140.82568,143.45337,77.373,83.0243,13.68988,13.32683,120.44734,2019-01-01,Nepal
128,3127,,,,,,,,84.16038,86.90079,13.75329,13.45774,,2020-01-01,Nepal
129,3128,,,,,,99.43055,103.95454,45.50961,48.47695,4.39797,6.4467,66.32055,2005-01-01,Bangladesh
130,3129,,,,,2.13129,99.68595,105.25839,46.25743,48.85301,5.22811,7.3612,,2006-01-01,Bangladesh
131,3130,43.74085,49.83233,46.6636,61.87281,2.20222,98.14192,105.24104,47.08351,49.56628,5.62739,7.93297,,2007-01-01,Bangladesh
132,3131,,,,,2.05457,96.61229,102.59263,43.57576,49.01089,6.31145,8.88409,59.02299,2008-01-01,Bangladesh
133,3132,,,,,1.93942,100.56885,105.38209,48.157,51.91283,8.11878,10.85809,65.45804,2009-01-01,Bangladesh
134,3133,,,,,,102.82547,109.25345,48.71956,54.67509,,,67.83219,2010-01-01,Bangladesh
135,3134,55.11944,62.48306,58.76918,77.98499,2.1327,,,48.81148,56.19821,11.19707,13.69156,,2011-01-01,Bangladesh
136,3135,54.23604,61.54287,57.86075,77.83291,2.1755,,,51.73942,58.82461,11.55667,13.801,,2012-01-01,Bangladesh
137,3136,57.789,64.21377,61.01554,85.52715,1.96616,,,57.85262,62.58473,10.96611,13.53042,,2013-01-01,Bangladesh
138,3137,57.86093,64.36509,61.0933,85.55473,,,,,,11.74298,13.86508,,2014-01-01,Bangladesh
139,3138,62.25299,68.05536,65.13733,87.88877,,,,61.7782,69.65406,11.07527,13.78741,,2015-01-01,Bangladesh
140,3139,69.89721,75.61885,72.75872,92.24265,1.53554,,,67.97476,75.01081,14.68115,17.87436,,2016-01-01,Bangladesh
141,3140,70.0857,75.70236,72.89297,92.95076,,111.08681,119.05796,64.34774,75.21749,14.91033,18.15146,,2017-01-01,Bangladesh
142,3141,71.18194,76.66926,73.9122,93.29644,,112.35745,120.75175,67.35348,78.27073,16.98329,20.56507,,2018-01-01,Bangladesh
143,3142,71.94839,77.44149,74.68446,94.86243,1.32632,,,67.0911,78.27727,20.01847,24.01689,,2019-01-01,Bangladesh
144,3143,72.00478,77.81671,74.9089,94.46178,,114.35002,124.98738,67.54806,81.48805,19.84238,22.83039,,2020-01-01,Bangladesh
