EventKey,SurrogateKey,Disaster_Type,Disaster_Subtype,Total_Deaths,Disaster_Subgroup,Country,Start_Year,End_Year
1,0,No Event,,,,None,1800-01-01,1800-01-01
2,8943,Storm,Convective storm,79,Meteorological,Bangladesh,2005-01-01,2005-01-01
3,9325,Flood,Riverine flood,9,Hydrological,United States,2005-01-01,2005-01-01
4,9329,Flood,Riverine flood,28,Hydrological,United States,2005-01-01,2005-01-01
5,9339,Storm,Convective storm,20,Meteorological,United States,2005-01-01,2005-01-01
6,9340,Storm,,8,Meteorological,Dem. Rep. Congo,2005-01-01,2005-01-01
7,9371,Epidemic,Bacterial disease,34,Biological,Dem. Rep. Congo,2005-01-01,2005-01-01
8,9430,Flood,Flash flood,13,Hydrological,Bangladesh,2005-01-01,2005-01-01
9,9479,Flood,Flash flood,19,Hydrological,Bangladesh,2005-01-01,2005-01-01
10,9480,Flood,Riverine flood,23,Hydrological,Bangladesh,2005-01-01,2005-01-01
11,9481,Storm,Tropical cyclone,24,Meteorological,Bangladesh,2005-01-01,2005-01-01
12,9482,Extreme temperature,Heat wave,,Meteorological,Bangladesh,2005-01-01,2005-01-01
13,9483,Extreme temperature,Severe winter conditions,100,Meteorological,Bangladesh,2005-01-01,2006-01-01
14,9484,Storm,,10,Meteorological,Bangladesh,2005-01-01,2005-01-01
15,9485,Storm,,2,Meteorological,Bangladesh,2005-01-01,2005-01-01
16,9486,Storm,,11,Meteorological,Bangladesh,2005-01-01,2005-01-01
17,9487,Storm,,35,Meteorological,Bangladesh,2005-01-01,2005-01-01
18,9488,Storm,,16,Meteorological,Bangladesh,2005-01-01,2005-01-01
19,9498,Flood,Riverine flood,,Hydrological,Canada,2005-01-01,2005-01-01
20,9499,Flood,Riverine flood,4,Hydrological,Canada,2005-01-01,2005-01-01
21,9500,Wildfire,Forest fire,,Climatological,Canada,2005-01-01,2005-01-01
22,9501,Wildfire,Forest fire,,Climatological,Canada,2005-01-01,2005-01-01
23,9502,Storm,,,Meteorological,Canada,2005-01-01,2005-01-01
24,9620,Flood,Riverine flood,,Hydrological,Canada,2006-01-01,2006-01-01
25,9625,Storm,,4,Meteorological,Bangladesh,2006-01-01,2006-01-01
26,9639,Storm,Tropical cyclone,115,Meteorological,Bangladesh,2006-01-01,2006-01-01
27,9640,Storm,Tropical cyclone,22,Meteorological,Bangladesh,2006-01-01,2006-01-01
28,9673,Storm,Convective storm,4,Meteorological,Bangladesh,2006-01-01,2006-01-01
29,9674,Flood,Riverine flood,,Hydrological,Bangladesh,2006-01-01,2006-01-01
30,9675,Flood,Riverine flood,,Hydrological,Bangladesh,2006-01-01,2006-01-01
31,9676,Storm,Tropical cyclone,9,Meteorological,Bangladesh,2006-01-01,2006-01-01
32,9683,Flood,Riverine flood,,Hydrological,Canada,2006-01-01,2006-01-01
33,9684,Flood,Riverine flood,,Hydrological,Canada,2006-01-01,2006-01-01
34,9685,Flood,Riverine flood,,Hydrological,Canada,2006-01-01,2006-01-01
35,9686,Flood,Riverine flood,1,Hydrological,Canada,2006-01-01,2006-01-01
36,9778,Storm,Convective storm,2,Meteorological,Canada,2007-01-01,2007-01-01
37,9787,Extreme temperature,Severe winter conditions,130,Meteorological,Bangladesh,2007-01-01,2007-01-01
