HealthKey,SurrogateKey,Domestic_government_health_expenditure_per_capita(current US$),"Hospital_beds(per_1,000_people)",Immunization_HepB3(%_of_one-year-old_children),"Physicians(per_1,000_people)","Deaths_by_communicable_diseases,maternal_prenatal,nutrition_(%)",Number_of_people_who_are_undernourished,Prevalence_of_overweight(%_of_children_under_5),Prevalence_of_overweight(%_of_adults),Completeness_of_death_registration_with_cause-of-death_info(%),Low-birthweight_babies(%_of_births),"Total_alcohol_consumption_per_capita(L_of_pure_alcohol,15+)",Adults(ages_15+)_and_children(0-14_years)_living_with_HIV,Prevalence_of_current_tobacco_use(%_of_adults),Out-of-pocket_expenditure(%_of _current_health_expenditure),"Mortality_from_CVD,cancer,diabetes_or_CRD_between_30-70(%)","Nurses_and_midwives(per_1,000_people)",Year,Country
16,4000,2408,3,14,,,,58.6,,,5.969686,,43000,,15.368293,12.7,10,2005-01-01,Canada
17,4001,2747,3,14,2,,,59.2,,,6.013186,,45000,,15.655554,12.3,10,2006-01-01,Canada
18,4002,3062,3,14,,,,59.7,,,6.047397,,46000,28.1,15.363629,12.2,10,2007-01-01,Canada
19,4003,3260,3,28,2,,,60.2,,100,6.075621,,48000,,15.243954,11.9,10,2008-01-01,Canada
20,4004,3202,3,42,,,,60.7,,,6.101152,,49000,,14.91025,11.5,10,2009-01-01,Canada
21,4005,3694,3,56,2,5.214861,,61.2,,100,6.1272964,10.1,50000,24.7,15.231223,11.1,9,2010-01-01,Canada
22,4006,3954,3,70,,,,61.7,,,6.1573453,,52000,,14.506158,10.8,9,2011-01-01,Canada
23,4007,4046,3,70,2,,,62.2,,,6.194604,,53000,22.6,14.270863,10.7,9,2012-01-01,Canada
24,4008,4017,3,55,2,,,62.7,,,6.2423706,,54000,,14.017015,10.5,9,2013-01-01,Canada
25,4009,3822,3,55,2,,,63.2,,,6.3039384,,55000,20.7,14.588918,10.4,10,2014-01-01,Canada
