QualityofLifeKey,SurrogateKey,Country,Year,People_practicing_open_defecation(%_of_population),%_of_population_using_least_basic_sanitation_services,%_of_population_using_safely_managed_sanitation_services,%_of_population_using_at_least_basic_drinking_water_services,%_of_population_using_safely_managed_drinking_water_services,%_of_population_with_basic_handwashing_facilities_with_soap,"Labor_force,_female(%_of_total_labor_force)",%_of_women_employed_in_the_nonagricultural_sector,"Unemployment,_male(%_of_male_labor_force)","Unemployment,_female(%_of_female_labor_force)","Unemployment,_total(%_of_total_labor_force)",Maternal_leave_benefits(%_of_wages_paid_in_covered_period)
1,1000,Canada,2005-01-01,0,99.80519,78.885765,99.23464,98.2408,,46.41924,49.1,7.01,6.46,6.76,
2,1001,Canada,2006-01-01,0,99.750336,79.280685,99.23462,98.29947,,46.67406,49.2,6.52,6.09,6.32,
3,1002,Canada,2007-01-01,0,99.69595,79.67517,99.2355,98.35997,,46.85596,49.6,6.38,5.65,6.04,
4,1003,Canada,2008-01-01,0,99.64146,80.06895,99.23608,98.41991,,46.800793,49.7,6.57,5.65,6.14,
5,1004,Canada,2009-01-01,0,99.586845,80.46202,99.23636,98.47926,,47.032047,50.4,9.53,7.01,8.34,40
6,1005,Canada,2010-01-01,0,99.53213,80.8544,99.23635,98.53806,,47.134205,50.2,8.79,7.23,8.06,
7,1006,Canada,2011-01-01,0,99.47722,81.24601,99.23589,98.59599,,47.092995,49.8,7.96,7.01,7.51,35
8,1007,Canada,2012-01-01,0,99.42172,81.63655,99.23433,98.65168,,47.226463,49.8,7.71,6.82,7.29,
9,1008,Canada,2013-01-01,0,99.36619,82.02637,99.23269,98.70725,,47.31363,49.7,7.5,6.6,7.07,37
10,1009,Canada,2014-01-01,0,99.310646,82.41548,99.23099,98.76271,,47.189915,,7.38,6.39,6.91,
11,1010,Canada,2015-01-01,0,99.25507,82.80388,99.229225,98.81806,,47.053093,,7.46,6.29,6.91,55
12,1011,Canada,2016-01-01,0,99.19948,83.19157,99.227394,98.87331,,47.173073,,7.68,6.24,7,
13,1012,Canada,2017-01-01,0,99.14388,83.578575,99.22554,98.928505,,47.272068,,6.78,5.85,6.34,55
14,1013,Canada,2018-01-01,0,99.08829,83.97367,99.22363,98.98363,,47.36336,,6.14,5.49,5.83,
15,1014,Canada,2019-01-01,0,99.032684,84.36813,99.22165,99.03861,,47.240314,,6.03,5.25,5.66,
16,1015,Canada,2020-01-01,0,99.03286,84.36839,99.22181,99.03895,,,,,,9.48,
17,1016,United States,2005-01-01,0,99.88179,97.82838,98.85369,95.23581,,45.789585,47.3,5.07,5.1,5.08,
18,1017,United States,2006-01-01,0,99.88154,97.89265,98.86084,95.24583,,45.76869,47.3,4.62,4.63,4.62,
19,1018,United States,2007-01-01,0,99.881294,97.957,98.86794,95.25578,,45.82785,47.4,4.73,4.5,4.62,
20,1019,United States,2008-01-01,0,99.88106,98.02143,98.875015,95.265686,,45.972614,47.7,6.1,5.42,5.78,
21,1020,United States,2009-01-01,0,99.88081,98.08594,98.88204,95.27552,,46.176376,48.3,10.28,8.06,9.25,
22,1021,United States,2010-01-01,0,99.86076,98.13518,98.97895,95.46778,,46.183968,48.3,10.51,8.61,9.63,
23,1022,United States,2011-01-01,0,99.841034,98.184944,99.07489,95.65915,,46.115192,47.8,9.37,8.46,8.95,
24,1023,United States,2012-01-01,0,99.82163,98.23526,99.169685,95.8494,,45.940304,47.8,8.22,7.89,8.07,
25,1024,United States,2013-01-01,0,99.80257,98.286125,99.26338,96.03857,,45.912403,47.7,7.63,7.07,7.38,
26,1025,United States,2014-01-01,0,99.78386,98.33756,99.35588,96.22655,,45.96453,,6.26,6.06,6.17,
27,1026,United States,2015-01-01,0,99.765526,98.32453,99.44716,96.41327,,45.865265,,5.37,5.18,5.28,
28,1027,United States,2016-01-01,0,99.74755,98.31176,99.53714,96.59864,,45.870842,,4.94,4.79,4.87,
29,1028,United States,2017-01-01,0,99.729965,98.299286,99.62582,96.78265,,46.025585,,4.4,4.31,4.36,
30,1029,United States,2018-01-01,0,99.712776,98.287094,99.71312,96.96519,,46.05998,,3.95,3.84,3.9,
31,1030,United States,2019-01-01,0,99.69599,98.27522,99.79904,97.14624,,46.163628,,3.72,3.61,3.67,
32,1031,United States,2020-01-01,0,99.67962,98.26365,99.88353,97.325714,,,,,,8.31,
